,Sentiment,Negative_Reason,Airline,Text,TextLength
14367,negative,Customer Service Issue,American,  please please American call me so I can rebook ticket .,80
6772,positive,,Delta, great.,15
4696,positive,,Southwest, nice touch on the passbook integration!,53
10942,negative,Late Flight,US Airways, is setting themselves up for a lawsuit. No way we should sit on a plane for an hour and a half.,106
13306,positive,,American, thank you for responding rather quickly btw,56
1690,negative,Late Flight,United, my flight was supposed to depart to Boston at 4:36 and now it's departing at 6:30 due to issues with finding a pilot. Thanks a lot!!,140
14342,negative,Customer Service Issue,American," why do #exp members have to wait ""over 2 hours"" to speak with an operator? Surely this is a mistake?",113
8806,neutral,,Delta, - I will for sure. But my TSA-Pre works with other airlines. Why is Jetblue different?,95
2887,neutral,,United, Are the current on board food menus available anywhere online?,70
11964,negative,Lost Luggage,American," lost my cats, missed their flights, kept them crated 30 hrs for a  would-be 5 hr trip. You'll never touch my pets again.",133
4184,negative,Bad Flight,United," flight 86 LAX-IAD, back rows NOT CLEANED prior to boarding. How gross is that to find used tissues in your seat?  Please.",129
7328,negative,Late Flight,Delta,. A bunch of flights are delayed from FFL to Northeast destinations. No announcements at the gate. What's going on?,123
3688,positive,,United, have reported it.  Still in Istanbul at the moment apparently.  On the other plane haha.  Hats off to the pilot!,120
1134,negative,Cancelled Flight,United," your SFO-YYJ fight is Cancelled Flightled several times each week, why even bother?",91
5056,neutral,,Southwest," I was under the impression when there is an 8 hour delay in your flight because of equipment failure, compensation is offered?",140
5495,negative,Customer Service Issue,Southwest, well my mom called earlier and you guys had her on hold for close to an hour,90
9914,negative,Cancelled Flight,US Airways," Cancelled Flights my flight to NY 3 times, then once I make it here they decided for S&amp;Gs they'll Cancelled Flight my return flight too. Thanks.",159
781,neutral,,United," Follow me back, please, and I'll happily DM you the link because I'd rather not share my travel plans publicly.",119
6327,negative,Flight Attendant Complaints,Southwest," We did not get a single answer from any Southwest personnel. After an hour's wait. No apologies, no explanation.",126
11340,negative,Customer Service Issue,US Airways," I appreciate that you actually monitor Twitter, so please  pass along my feedback. I've tried calling about 15 times in 4 days :(",140
568,negative,Lost Luggage,United,  My bag is still in Colo Springs. I am disabled and have to search an unfamiliar airport and look for my bag. Not a good outcome,136
4205,negative,Cancelled Flight,United," no, it was 2 flight Cancelled Flightlations (one due to weather, one mechanical) paid own hotel, bag held in transfer. No voucher/compensation",150
5681,neutral,,Southwest, sent,18
4905,neutral,,Southwest, https://t.co/OQUKSo3s2O subscribe please https://t.co/OQUKSo3s2O,78
1821,negative,Customer Service Issue,United,"  It's all about profit, and they don't really give a damn about paying customers!!!! #greed",108
12130,negative,Flight Booking Problems,American," I am looking for help on USAirways award travel booked for wife and two boys, no seats assigned.",109
14229,negative,Cancelled Flight,American, is flight 2934 dfw to gsp going to be Cancelled Flightled tomorrow?,80
14376,negative,Flight Attendant Complaints,American, I let a crew member know every time this happens.  Which is most of the time.,90
12828,negative,Cancelled Flight,American, My flight 1389 from Las Vegas to DFW was Cancelled Flightled! I've been on hold forever and I still have not spoken to anyone! Pls Help,148
4344,neutral,,Southwest, I have been on hold for over 28 minutes  please help http://t.co/Fx9BIJlxAt,89
5006,negative,Cancelled Flight,Southwest, Maybe if you comped those that quietly accepted delays or Cancelled Flightations instead of the irate you'd have less issues #justsaying,150
13635,negative,Late Flight,American," flight 45 JFK-LAS. First the catering was Late Flight, the. No push back crew. 2hrs delay.",103
6198,positive,,Southwest, once or twice a year. Hard to get vacation time from work sometimes. But love flying with you guys!,113
2076,negative,Bad Flight,United," I'd hardly call going from 10,000 miles to 1,000+ miles a ticket cutting edge. About 1/10 the perk?",107
8308,neutral,,Delta,'s CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/5fmipW9dhi,115
3529,negative,Can't Tell,United, this happens all the time.  United pilots are always in the exit row.  America treats there customers better than their employees.,138
5618,positive,,Southwest," you guys rock! So easy, quick, and affordable to change my flight. #bestairlineever #neverchange",110
9184,negative,Can't Tell,US Airways," membership has no privileges anymore - my son is in the army, short window to see him - NO help.",107
10146,negative,Customer Service Issue,US Airways, my option is to use twitter. Most of the people working for u have no clue what they do. they tell you to go to A4 but its b16,137
5458,negative,Customer Service Issue,Southwest," wanting a ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ for the ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ find",138
3268,negative,Flight Attendant Complaints,United, wasting time at baggage claim thanks to your dfw ground crew who checked my bag in without actually checking for space #frustrated,138
7112,neutral,,Delta,X____x RT : Our fleet's on fleek. http://t.co/Y39YzDpBvU,64
13429,negative,Customer Service Issue,American,  good luck I've been waiting a week,58
8329,negative,Customer Service Issue,Delta," has screwed me over for the last time.  , glad to give you my business. #JetScrew #AwfulCustomerService",125
2779,negative,Late Flight,United, how about after 2.5 hrs at ORD another .5 on the tarmac + refuse to move me to an earlier flight you make it up to me? #iflyalot #bs,140
14208,negative,longlines,American, 24 hours on the AirPort,36
12826,positive,,American," Thank you for the response, we got it resolved at the counter.",75
3797,negative,Late Flight,United, a good start would be  to warm the plane before the departure time so the flight isn't delayed due to frozen water lines.,129
6297,negative,Can't Tell,Southwest, yea but I was hoping to avoid the ticket difference amount as a birthday courtesy? #flysouthwest #lovesouthwest #mybday,133
10906,neutral,,US Airways, made it.. Never ran so fast in my life,49
11236,negative,Can't Tell,US Airways, i hate you,21
1115,positive,,United, Just sent! Thanks :),28
13901,negative,Cancelled Flight,American," I have been trying to speak with an agent the whole day about my Cancelled Flightled flight, what I can do?",120
6160,neutral,,Southwest, will do! #heart #flying,37
4670,neutral,,Southwest, if only you could control the weather in Las Vegas ï¿½ï,66
10923,negative,Customer Service Issue,US Airways, app is the worst one for airlines. Can't do anything once your original flight time has gone by. Useless.,116
2022,negative,Lost Luggage,United," still missing my luggage, was promised someone would call, no call so far, flight from Shanghai to DC with connecting flight in ORD",139
10756,positive,,US Airways, thank you,20
5464,positive,,Southwest,"  
great news.",43
11015,negative,Late Flight,US Airways, yes .not sure how you guys don't know gate is occupied and keep us waiting,85
12867,neutral,,American," #epicfail on connections in #Chicago today, extremely disappointed w/ unaccommodating customer service, rethinking loyalty ï¿½ï",137
10827,negative,Late Flight,US Airways, It wasn't weather this morning.  AWE1701 diverted back to BOS due to mechanical issues.  So far lost one of 3 days :(,128
6589,positive,,Southwest, got it squared away. Thank you. I had a man on the inside help me out!,84
2734,negative,Lost Luggage,United, I took care of it myself. Had to rent a car and drive 3 hours to retrieve my belongings. Due to united errors.,118
13712,negative,Lost Luggage,American," I am running out of battery you have my chargers,clothes,coat,contact lenses, need to be in mtg tom need help #pathetic service",140
14122,neutral,,American, you wont allow calls? My husband has a ticket but it looks like all the seats are taken? I cant even call.,119
302,negative,Customer Service Issue,Virgin America, Do you guys know your check-in links from emails are broken? http://t.co/2npXB6oBMr,98
667,neutral,,United, how about 3659 YUL-ORD?,31
5609,positive,,Southwest, This has to be the best video I have seen ever! - #teamspirit https://t.co/X5JenA7NyE,99
5801,negative,Can't Tell,Southwest, Your #Android Wi-Fi experience is terrible! $8 is a ripoff! I can't get to  or MRN for  #BudweiserDuels,135
1581,neutral,,United, If an award is no longer showing available could it possible become available again?,92
2850,negative,Late Flight,United, please provide update on UA 791. This flight has been stranded by united with no information from the crew on the plane.,128
12589,negative,Can't Tell,American, it's beyond complicated now and it feels like when I used to fly with United. Platinum means nothing.,114
4469,negative,Customer Service Issue,Southwest," Thanks for the text, but not exactly timely 8). Data throughout issues today maybe? http://t.co/aaU9MKA6Zy",120
7184,neutral,,Delta," absolutely, my girlfriend and I will be Flight Booking Problems our Mexico flights in the next day or two, will send a Tweet when it's done!",149
11307,positive,,US Airways, finally rectified my flight situation! Thanks again,62
572,neutral,,United, 6533 ORD to DCA,23
7118,neutral,,Delta,ýýýýýýýýýýýýýýýýýýýýý: Our fleet's on fleek. http://t.co/UHUmAskLdvýýý,62
3513,negative,Customer Service Issue,United, ...she said she would need to get a supervisor. While waiting for the supervisor she hung up on me.,107
4520,neutral,,Southwest, Please lower my plane flight by like $100 bucks!! Thanks~ #FloridaVacation,88
9944,positive,,US Airways, Ann Marie at LGA is the best ticket agent ever! #excellentcustomerservice,84
12351,neutral,,American, I know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours? ï¿½ï,135
1402,negative,Customer Service Issue,United," Over the last week, United has provided me with the worst customer service experience of my life. Disgusting. #united",125
5833,neutral,,Southwest, done.0,20
4769,negative,Late Flight,Southwest, almost at the gate for 1156 to SF. Please wait 60 more seconds.,77
437,positive,,Virgin America, #thankyou the DAL-AUS route makes my day!!!!,59
8101,positive,,Delta,"Thanks! Hope I don't look like a complainer, I've written of good experiences w/you in the past and am making do in terminal 5 :) ",138
10974,negative,Late Flight,US Airways," it was 1838, almost 5 hours Late Flight due  to mechanical.",70
6094,neutral,,Southwest," So there were 134 early-bird check-ins, because I was told there were no flythroughs? Good flight, otherwise ~",124
14570,neutral,,American, I am trying to switch my flight to AA 1359 I am currently on AA 2401 at 6:50am MONDAY morn then AA 2586! Help Me!!,127
1667,negative,Bad Flight,United, of course. But interesting how United doesn't seem to have a good sense on what's happening with flight,111
2756,negative,Can't Tell,United, roundtrip to London on  ? I think I will! FYI that's another $1k you just lost. #moneynotspentonunited #unfriendlyskies,133
3872,negative,Late Flight,United," UA6255 delayed out of #winnipeg because the plane was ""frozen""! #fail Will I make my connection on UA1059? #tightconnection #Denver",139
9790,negative,Late Flight,US Airways," #fail when the inbound flight arrives after the scheduled outbound departure, and still ""on time"" http://t.co/k0MHZrJF6e",131
9140,negative,Can't Tell,US Airways, Thanks so much for ruining my vacation. I really couldn't have done it without you.,94
82,positive,,Virgin America, I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,137
1157,negative,Flight Attendant Complaints,United, Arriving at the airport 2 hours before departure time and still missing your flight bc you actually don't have an electronic ticket,139
9546,negative,Flight Booking Problems,US Airways," Wife and I flew to Italy recently. Bought tickets via Finnair, flights operated by USAir. Didn't get dividend miles credited.",136
5742,negative,Customer Service Issue,Southwest, What does this even mean?  I'm taking about letting elite customers who paid for a seat fill a seat that will go empty anyway.,140
8891,negative,Late Flight,Delta, Is there something going on with your alerts? Flight's been delayed several times for my parents and i'm not receiving any alerts.,139
9834,negative,Late Flight,US Airways,  2hrs Late Flightr finally taking offï¿½ï¿½ï¿½ï¿½,63
13683,neutral,,American, 235.  We made it to Seattle...,43
3903,positive,,United," cool, thanks.",21
14080,neutral,,American,"  This looks like JFK - had a great pic of the OneWorld jets lined up on the opposite side #Air Berlin, LAN and AA.",136
8359,positive,,Delta, THANKS!! Her 80th bday is Saturday. We're having an aviation themed surprise party for her.,100
2029,negative,Customer Service Issue,United,  once again your customer service at the providence airport was horrible. Do you actually care about customers or just making money?,140
14145,negative,Customer Service Issue,American, I haven't been rebooked. I called and left my number for a callback but haven't heard anything and my flight is tomorrow. :(,137
11416,negative,Customer Service Issue,US Airways," really, so what does that mean??? #usairwayssucks",60
10761,negative,Customer Service Issue,US Airways, I have never been given a number for elite for usair. Only AA. I waited for 3 hours for an answer and by then my seat was gone.,138
12731,negative,Customer Service Issue,American, im still on hold...,32
5786,neutral,,Southwest, Can you help me out with tickets to the Vegas event? I would be so stoked!,88
4966,negative,Late Flight,Southwest, our flight is delayed till tomorrow curse the weather,67
9747,negative,Lost Luggage,US Airways, why won't you help me get my luggage back? I'm a teen trying to change the world in DC #Flight5182 #usairways,120
3001,negative,Customer Service Issue,United, is a money sucking airline with terrible terrible customer service,74
9084,positive,,US Airways, see you on board tomorrow,36
5381,positive,,Southwest, Had a great trip this past week to Vegas for work; and had this pic over the Southwest on Southwest! http://t.co/a3YCFlaLxV,137
7707,positive,,Delta, you got yourselves hot ladies flying the air for life #loyal,69
10615,negative,Late Flight,US Airways, Sitting on the runway at phl for the last 30 min because the correct weights for the flight aren't in the system? #jobfail,133
12678,negative,Customer Service Issue,American, airport and 2 extra nights for hotels and not once have I heard of anything from your embarrassing airline saying that you will,140
6511,neutral,,Southwest, we're flying out tomorrow! PLEASE DONT Cancelled Flight!! Lol ï¿½ï¿½ï¿½ï,79
13172,negative,Late Flight,American, #last #flight #ever on #AA. You botched this weather delay to the point of absurdity. I'd pay more to fly ,125
9034,negative,Customer Service Issue,US Airways," She spoke with someone this AM and was told that breast pumps aren't medical equipment and that she should have ""planned better.""",140
13047,negative,Lost Luggage,American," Oh, and losing my luggage #ridiculous # angrybird # where'smybag",77
754,neutral,,United, yes I do.,17
2298,negative,Can't Tell,United, you have a culture issue,32
14015,negative,Can't Tell,American, I've never witnessed such covert tactics from an airline.,70
9953,negative,Late Flight,US Airways, 3818 delayed. blue skies all over. #whyisusairALWAYSDELAYED???,73
1617,negative,Bad Flight,United, seriously? 45 min on the plane at bhm and now 30 min in baggage and still no bags? #worstairlineever,108
8242,negative,Can't Tell,Delta, shut up an turn on the tvs/music,41
438,positive,,Virgin America, awesome deals DAL-AUS for only $39 each way! https://t.co/xCVQXYkg49,83
4702,negative,Customer Service Issue,Southwest," Hello remaining credits on your account will be refunded back to your credit card, when you choose a lower price flight?",134
1211,negative,Can't Tell,United, My credit card was charged on the transaction when I was told it would not be. If the charge goes through I will be contacting you.,139
3165,negative,Late Flight,United, the only difference being you are both responsible and in a position to do something about them. Learn from ,122
10379,negative,Customer Service Issue,US Airways," weather doesn't excuse poor customer service, lack of info from staff or the fact staff haven't turned up",116
6295,neutral,,Southwest, Sorry! Thought I did. It's done now.,50
10437,negative,Flight Attendant Complaints,US Airways,  wow you wouldn't say,47
10174,negative,Cancelled Flight,US Airways, big problem!!! Fll to clt then got off on clt but my fly to gso is Cancelled Flightled had to rent a car to get to my pops funeral,141
13961,negative,Customer Service Issue,American," is there only one call centre? I know it's busy right now, really need to speak to agent not computer",114
8463,positive,,Delta, I will! Thank you!,27
9146,positive,,US Airways," great crew for flight 504 PHX to YVR tonight! Friendly, efficient. Awesome job.",90
9463,negative,Customer Service Issue,US Airways," Aye, and nothing to do with an automated system which doesn't work properly. Anyway, got through to somebody...",122
6445,negative,Customer Service Issue,Southwest, it's not letting me DM you !!,43
9130,negative,Flight Booking Problems,US Airways, nah it's for my flight next week.. inside my Chairman 7-day window but you still haven't released the last open First seat to me,139
5313,negative,Can't Tell,Southwest, Bad enough that there is no seat assigned he's  seating at an exit seat and a male flight attendant removes him from there,136
3628,neutral,,United, i now see it's 72 hours. Thanks,39
9182,negative,Can't Tell,US Airways, I've flown US Airways at least five times. Every single time has been like this. Actions speak louder than words.,124
5141,positive,,Southwest, just sent another 4 drink coupons....I think I have over 30 coupons now. free drinks anyone?,106
7803,positive,,Delta, Awesome! Thank you! ;),31
10188,negative,Customer Service Issue,US Airways, so upset with customer service. I have a simple question and the phone system has disconnected me all day today and yesterday.,137
9536,negative,Lost Luggage,US Airways, but my bag is still missing,38
9409,neutral,,US Airways,  trying to chg ticket for staff member leaving org before she can fly.We're a nonprofit-can't you make an exception?,139
13381,negative,Can't Tell,American, at gate c11. Your gate agents are turning paying customers away in favor of non revs,97
13966,positive,,American, thanks to Marie for reFlight Booking Problems me and my friends!!! I'm Cali bound thanks to this sweet angel! #blessed,131
8824,negative,Late Flight,Delta," flight 894, first officer not even at the airport wow!!!!!! Unreal, staff waited until we all boarded to announce we are delayed.",138
9946,negative,Flight Attendant Complaints,US Airways, it's unacceptable the way your agents at the gate treat paying customers!!!,86
12537,negative,Lost Luggage,American, Okay... If someone does it look for it now my fear is it will be lost forever. It's a very small item.,115
5692,negative,Late Flight,Southwest, make this delay go away. Maybe upgrade me and Kats seats. We are headed to Columbus.,98
12968,negative,Cancelled Flight,American," AA1675 flight out of Jamaica was Cancelled Flightled yesterday due to ""weather"", while other flights were still landing at DFW",139
9388,negative,Flight Attendant Complaints,US Airways, I get some bs from a guy at the door says door closes 10 minutes before it backs out. Yet I know for a fact it was 5 people short,140
13467,negative,Bad Flight,American, Why not sell MCE during post door-close shuffle in same way u sell drinks/snacks? People on my flight self-upgraded w/o paying.,140
1263,neutral,,United, what would it cost,26
11887,positive,,American," Believe me, I understand. Flight #2955. Was originally booked for Sunday. Flight was Cancelled Flighted and rescheduled for today.",143
14603,neutral,,American, do you guys have another flight for today that you can book me on from laguardia to louisville ky?,111
7903,neutral,,Delta, thanks anyways  has my back! Awesome rate &amp; amazing customer service #nomoreaggravation,113
10677,negative,Customer Service Issue,US Airways," Made about 30 calls to USAir today to merge of AAdvantage, Dividend Miles. Each time, says call back Late Flightr. #30timesenough",140
11840,positive,,US Airways, will do. Hoping for a voucher for a future flight #Optimistic,72
14444,neutral,,American, hi how are you,27
11696,negative,Flight Booking Problems,US Airways, This flight was for my brother. He has been rebooked and I was able to give my info over the phone to get him a pass to the Club.,140
4735,neutral,,Southwest, to end its daily #B737-700 flights from #Washington Reagan to #FtMyers on 8AUG #avgeek,100
10907,negative,longlines,US Airways, I've been standing on a very crowded bus for the past 30 mins for DCA-PIT. HELP!  http://t.co/jasKYPLWt5,127
11977,positive,,American," great, thanks!",27
11315,positive,,US Airways, shout out to the pilots and FC attendant(Eliz) of US 673. Super strong crosswinds during landing. Eliz did a super job throughout,140
12496,negative,Customer Service Issue,American, no; I just expect a higher level of customer service &amp; for the flight crews to give us accurate information,124
7377,positive,,Delta, thanks for answering my questions!,43
10003,negative,Cancelled Flight,US Airways, spent 1.5 hours in line trying to get on a flight home tonight only for it to be Cancelled Flightled an hour Late Flightr. Not even snowing at DCA,157
9355,neutral,,US Airways, doesn't take into account the $450 it cost 2 rent a car 2 drive home,79
3279,negative,Lost Luggage,United, can you you think about hiring some baggage attendants at EWR? Been waiting for bags for 1 hr. United = overcharged&amp;underserved,139
10108,negative,Cancelled Flight,US Airways," first flight Cancelled Flightled, connecting flight delayed so will completely miss next connection no response on hold 2 hrs HELP me",144
11372,neutral,,US Airways, Looking forward to some friends and family time in Arizona.,70
2099,negative,Customer Service Issue,United," - routing a person from Houston to Newark, NJ  and then to SFO is not acceptable.",89
1335,negative,Lost Luggage,United, Do you have a further update on the suitcase today please.,66
6088,neutral,,Southwest, only 1 guest needs to change a flight on a reservation of 2. How can I do it? I NEED this to happen. Say it can...Please help!,140
5038,negative,Bad Flight,Southwest, plane switch on 636 meant A= back of plane #disappointed,70
12085,neutral,,American," Hi, can you please ticket my award ticket? The status is ""On Request"" now. Thanks.",95
609,negative,Late Flight,United,. What's going on with UA 236?  outbound flight last thurs was delayed 4hrs How long will this delay be? #worst2unitedflightsever,136
2057,negative,Customer Service Issue,United, thanks for nothing. Really?!? 60 minute wait times when I've had to call back 4x. That's 240minute wait times.,118
7285,positive,,Delta, I do! The best airline wifi ever. Thank you!,53
5840,neutral,,Southwest, please reply to my DM ï¿½ï¿½,38
3897,negative,Lost Luggage,United, -LGA-ORD UA 711. Did not get agent name. Argument over baggage policy.,78
12999,negative,Customer Service Issue,American," I need to complain to AA, but the email form field doesn't allow enough characters for my complaint. Have a real email address?",140
3388,neutral,,United,  does she need to complain on Twitter for the refund or is it auto-applied?,93
4911,neutral,,Southwest, I have followed you. Awaiting your DM.,52
821,negative,Flight Attendant Complaints,United," Why tell us flight is delayed, then tell us it's on time again with 20 min to spare? Don't say it's delayed unless you're sure!",135
6137,neutral,,Southwest,YO!    give  their plane back.  They're mad &amp; threatening to take away my Companion Pass. #Luv,136
567,negative,Lost Luggage,United, just flew to #TelAviv paid $100 from a third suitcase which didn't even make it on the plane! Besides for the impolite service...,137
9022,negative,Can't Tell,US Airways, You have no idea how upset and frustrated I am right now. I'll be sure to follow through with never flying with you again.,133
953,negative,Customer Service Issue,United, yes lots. You have terrible customer service at Newark and despite raising a complaint there we were ignored hence the tweet,132
10636,negative,Can't Tell,US Airways," Umm, can you define 'extra time'?",44
11940,positive,,American,"  AA doesnt charge any fees to change award tickets as long as the origin, destination &amp; award type remains the same",144
3664,negative,Late Flight,United," It was quite enjoyable. ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ 

Except now he's stuc",85
14227,negative,Late Flight,American," long wait? I literally went shopping at 3 different centers, had lunch and prepared dinner. surprise, it's winter! staff better",140
6949,negative,Can't Tell,Delta,ýýý: Our fleet's on fleek. http://t.co/7iM9rHIvyRýýý Plz stop,65
12250,negative,Can't Tell,American, I need refund.,27
6786,positive,,Delta, Thanks for the quick reply! Just wanted to make sure it wasn't just my account :),90
9634,negative,Can't Tell,US Airways, I've flown 6 figured worth of miles in my lifetime.  This was my first and last ever flight on US Airways,116
10878,negative,Cancelled Flight,US Airways," 2133. Flight now Cancelled Flightled. Have been rebooked on 2pm flight. If on time take off, I'll have spent 5 extra hours at DCA.",141
2256,negative,Late Flight,United,Reply to  - Doesn't do any good to check outlets preflight when moved to different equipment after boarding due to malfunction.,134
14128,neutral,,American, 3198 to AEX. Is it still going?,44
3852,negative,Can't Tell,United,. Will breaking them in somehow make them longer so that they don't cut off the circulation in my legs? #unfriendlyskies,127
157,neutral,,Virgin America, my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,121
298,neutral,,Virgin America," gives positive outlook, but sees increased competition -  http://t.co/jEu7Od3eYJ",103
842,negative,Customer Service Issue,United, computers are down but you stopped giving updates and took my flight info off the app. That's just ridiculous keep people updated!,138
2410,neutral,,United, already DM you my concern. Pls check.,45
12810,negative,Late Flight,American, now a delay to the rebooked flight?!,49
11074,neutral,,US Airways, do you post travel alerts on your website? Traveling to Bdl on Sunday morning.,89
14558,negative,Customer Service Issue,American,  Just make sure they remember to load the bags onto the plane. They Cancelled Flight the flight when they forget...,143
1420,negative,Customer Service Issue,United, Apart from being on hold for over 2 hours and having talked to 5 people and the problem still not resolved!,115
1880,negative,Cancelled Flight,United, so? Found anything or just showing off? You do realise that the morning flight that you Cancelled Flightled was more pricey than the evening?,149
6150,positive,,Southwest," that's why I fly y'all, that personalized service",63
3109,negative,Can't Tell,United,we all watched as the crew was escorted from the back to 1st class. Prebooked? Really? :  Your dissatisfaction is und,140
432,neutral,,Virgin America, to start 5xweekly #A319 flights from to #Dallas  #Austin on 28APR #avgeek,104
1202,neutral,,United, please see dm!!,23
4075,negative,Can't Tell,United, IT-problems with the link? #3thparty,44
5294,negative,Cancelled Flight,Southwest, flight just Cancelled Flighted. Can you help me rebook?,69
9307,negative,Flight Booking Problems,US Airways, why is it impossible to change / buy preferred seats via your app?,77
7272,negative,Late Flight,Delta, over 2 hour delay going from NYC to Denver! Come on man!,65
14335,negative,Flight Booking Problems,American," Where are your tickets offices in Boston? Impossible to book by phone or use vouchers on website, what a headache. PLEASE HELP!",140
1124,negative,Customer Service Issue,United, what a pointless tweet. At least  asked me to follow them to try and resolve,96
10426,negative,Flight Booking Problems,US Airways," I need help. In air on #717 to CLT from PHL. Conf: D1MQF5 Need confirmed on #1776 to BNA at 10:30. Been bumped all day, need home",140
1535,negative,Late Flight,United, Why did you load us in this flying sardine can if you knew the pilots were 2 hours Late Flight?? #incompetent beyond belief,131
775,negative,Damaged Luggage,United, that's unfortunate. The  was an xmas gift and it looks like a razor ripped right through the front pocket in the picture,139
8386,negative,Customer Service Issue,Delta," customer service was so bad updating my points, once I use my next points, I won't be flying you. Point system is almost a sham.",137
13281,positive,,American," gotta love those skycaps, solving problems faster than anyone else in the terminal. And they did it with a smile on their face",139
8842,negative,Lost Luggage,Delta," pls find my bag, I need 2 get home! Very frustrating. Hope my bag is somewhere in . Leaving the #jfk w/o my luggage.",139
11649,negative,Customer Service Issue,US Airways, I have a voucher from a past trip that was delayed. I thought I had to talk to someone on the phone to use it. Is that not true?,139
6842,negative,Late Flight,Delta, why was Flight 1856 delayed to Buffalo ?  Itï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s a direct flight and t,101
4523,positive,,Southwest, ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,101
9217,neutral,,US Airways," yes, with Delta!",27
2366,negative,Flight Attendant Complaints,United, have an employee at the gate 15min before boarding like u expect ur customers to. Be a competent company like ur rivals,127
12229,neutral,,American, um. down south has snow too #ATL,45
12658,negative,Late Flight,American, what is going on with the flight 2417? It has been delay a lot .,77
13226,neutral,,American,  that's what I am hoping for,41
3779,negative,Late Flight,United," Nice ""partners"" you have. The delays keep increasing every 20 min   http://t.co/1AtEafnC6R",130
13607,negative,Customer Service Issue,American, are you ignoring me on purpose? It was sad enough having your automated system hang up on me ï¿½ï,107
10535,negative,Lost Luggage,US Airways," had baggage lost last night, no call from us airways and no bags and nobody answering phone #badcustomersrvice #whereismybag",135
670,neutral,,United, Done and done,21
10061,negative,Customer Service Issue,US Airways, not impressed with your customer service. everyone has been unhelpful and incredibly rude.,101
13517,negative,Customer Service Issue,American, stranded in Miami because your automated system keeps hanging up on me for two days. Help !,104
8040,neutral,,Delta, Now ur asking for the heavy guns! You know #IWouldDoAnythingForLove https://t.co/Yx1DQJn8nL #BrandMance #LoveSongFriday,128
1240,positive,,United, love the new 1st class breakfast!,41
7290,positive,,Delta," pilot: ""Don't worry folks there's a backup for the backup for every part of this plane."" Thanks guy",108
5983,negative,longlines,Southwest, please hire an efficiency consultant to manage your PHX baggage checkin. Way to many open kiosks with 100's of ppl waiting,136
1279,negative,Flight Booking Problems,United, how is it that I book a flight with a reserved seat and then go to check in and find out I have no seat?  WTF.,118
14587,negative,Customer Service Issue,American,". nice 2 know. I paid 4 a seat. Then you sold my seat. now I bought a 3rd seat. It's a good scam, but a scam all the same.",134
3589,neutral,,United, DCA-EWR Flight #4372,28
11831,negative,Late Flight,US Airways," Now I am probably going to miss my connection in Charlotte, so I will have to drive home for the funeral.",116
602,neutral,,United, thank you !,19
8693,negative,Can't Tell,Delta, why is t that every time I fly jfk even more speed doesn't work waiting for 10 min #nogood,99
8921,negative,Cancelled Flight,Delta, as much i have paid in fees. Plus hotel and food because of your changes i could had flown with a more reliable airline #no2jetblue,140
8358,neutral,,Delta," traveling w/ a rifle for a hunting trip, can a pistol be in the same large rifle case too? Wasn't clear in freq asked questions",136
4971,negative,Bad Flight,Southwest," BTW I was completely unable to buy wifi for my flight using Galaxy S4. Couldn't zoom out or scroll to touch ""Buy""",127
5751,negative,Flight Attendant Complaints,Southwest, luxury! Only 40 people on this flight. I'm going to get spoiled.,78
1735,negative,Bad Flight,United," is an airline where you pay extra to get a better seat but by the time you board your overbooked flight, there's no overhead space.",139
9872,negative,Late Flight,US Airways," told me I deserved to be delayed because I booked the last flight and then I hear ""the only inconvience is missing your flight""",138
6785,negative,Can't Tell,Delta, it's poop and barely works,35
6450,negative,Can't Tell,Southwest, what's up with these delays?! Throw some priority boarding my way &amp; I'll forgive you!! ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,136
1412,positive,,United, you're my early frontrunner for best airline! #oscars2016,65
2179,negative,Flight Attendant Complaints,United, My contact stuff is in the bag and I'm legally blind. This is so messed up.,83
10516,negative,Flight Booking Problems,US Airways, -beg to differ. 4 things booked wrong and still not fixed. Get your act together! #USAirSucks,104
8366,negative,Cancelled Flight,Delta, Cancelled Flightling tickets for 3 best friends going on vacation and never told us #jetblue #fixthis #ripoff  ,140
4653,negative,Late Flight,Southwest, but when do I get my gin &amp; tonic !?!?,55
